year,indicator,LifeZone,pool_tc_sum,area_sum,pool_tc_per_ha,run
2016,Soil Carbon,Cool temperate moist forest,432251865.6395621,6692252.221012427,64.58989460713565,"Modified Decay, Turnover and Spinup parameters"
2016,Soil Carbon,Cool temperate steppe,2652580.129643122,41655.13748523968,63.67954326361431,"Modified Decay, Turnover and Spinup parameters"
2016,Soil Carbon,Cool temperate wet forest,11883140.295434194,184465.87289243154,64.41918013942701,"Modified Decay, Turnover and Spinup parameters"
2016,Soil Carbon,Polar rain tundra,27878403.71318515,414548.85008504183,67.2499844287738,"Modified Decay, Turnover and Spinup parameters"
2016,Total Biomass,Boreal wet forest,131157552.78895402,5190377.072927469,25.269368862054318,"Modified Decay, Turnover and Spinup parameters"
2016,Total Biomass,Cool temperate moist forest,169108989.890697,6692252.221012427,25.26936886205906,"Modified Decay, Turnover and Spinup parameters"
2016,Total Biomass,Cool temperate steppe,1052599.0341143094,41655.13748523968,25.269368862059174,"Modified Decay, Turnover and Spinup parameters"
2016,Total Biomass,Cool temperate wet forest,4661336.184580553,184465.87289243154,25.269368862059057,"Modified Decay, Turnover and Spinup parameters"
2016,Total Biomass,Polar rain tundra,10475387.804141425,414548.85008504183,25.269368862059252,"Modified Decay, Turnover and Spinup parameters"
2017,Deadwood,Boreal wet forest,294145354.7778041,5190377.072927469,56.67128816363637,"Modified Decay, Turnover and Spinup parameters"
2017,Deadwood,Cool temperate moist forest,368300635.9706176,6692252.221012427,55.033884529071116,"Modified Decay, Turnover and Spinup parameters"
2017,Deadwood,Cool temperate steppe,2247083.6442177356,41655.13748523968,53.944934043585384,"Modified Decay, Turnover and Spinup parameters"
2017,Deadwood,Cool temperate wet forest,10100034.36519311,184465.87289243154,54.75286136575946,"Modified Decay, Turnover and Spinup parameters"
2017,Deadwood,Polar rain tundra,24353090.91251886,414548.85008504183,58.74601004808719,"Modified Decay, Turnover and Spinup parameters"
2017,Litter,Boreal wet forest,95573061.30089322,5190377.072927469,18.413510224410004,"Modified Decay, Turnover and Spinup parameters"
2017,Litter,Cool temperate moist forest,117331289.89852808,6692252.221012427,17.532407031840442,"Modified Decay, Turnover and Spinup parameters"
2017,Litter,Cool temperate steppe,704734.0779519073,41655.13748523968,16.918299170219445,"Modified Decay, Turnover and Spinup parameters"
2017,Litter,Cool temperate wet forest,3208990.098384328,184465.87289243154,17.396118035641216,"Modified Decay, Turnover and Spinup parameters"
2017,Litter,Polar rain tundra,8075884.993062333,414548.85008504183,19.481141948423257,"Modified Decay, Turnover and Spinup parameters"
2017,Soil Carbon,Boreal wet forest,341577909.5967233,5190377.072927469,65.80984479496921,"Modified Decay, Turnover and Spinup parameters"
2017,Soil Carbon,Cool temperate moist forest,432161289.0091166,6692252.221012427,64.57636005591819,"Modified Decay, Turnover and Spinup parameters"
2017,Soil Carbon,Cool temperate steppe,2652098.105245546,41655.13748523968,63.66797147615479,"Modified Decay, Turnover and Spinup parameters"
2017,Soil Carbon,Cool temperate wet forest,11880815.298952514,184465.87289243154,64.40657620112003,"Modified Decay, Turnover and Spinup parameters"
2017,Soil Carbon,Polar rain tundra,27868676.91060287,414548.85008504183,67.2265208428049,"Modified Decay, Turnover and Spinup parameters"
